x,y,z
14.02741,2.89454,37.95539
14.04792,42.17572,2.82507
14.06207,6.93461,4.60004
14.06614,24.53336,40.06915
14.08244,5.53374,26.45755
14.10562,9.97012,12.96585
14.10562,9.97012,12.96585
14.10608,38.16119,17.39563
14.10799,9.9687,12.96435
14.13078,9.55531,14.24233
14.17079,46.8986,12.78286
14.18966,5.02459,4.36812
14.2316,15.11021,17.64056
14.23578,11.32005,16.25062
14.24761,22.04427,41.62853
14.2522,20.57815,1.5801
14.26548,6.64703,4.29347
14.29387,1.95844,39.18184
14.32142,12.25856,15.92751
14.32191,1.01515,5.19025
14.37219,5.08146,1.46124
14.38326,47.17511,29.82684
14.3975,37.16096,16.95363
14.40074,46.52705,9.52727
14.41398,8.5507,4.04814
14.43162,16.19043,26.26171
14.43867,38.37897,11.09974
14.44317,26.65317,19.65134
14.45086,1.38731,16.82483
14.47909,37.95897,17.53107
14.50096,16.50365,3.47242
14.50496,23.60513,44.29572
14.52209,47.79139,17.1959
14.55322,45.61195,22.12548
14.58674,45.20245,2.25251
14.62093,32.3609,10.7152
14.64569,15.7288,18.65323
14.66952,4.76201,1.32468
14.66984,4.75976,1.32917
14.67526,27.74993,6.86666
14.68444,0.7277,23.85172
14.70064,7.76641,6.51546
14.70156,14.15357,10.34145
14.70253,14.15188,10.3424
14.70583,14.14887,10.34182
14.72035,28.34697,9.99066
14.73105,37.38482,10.88999
14.75737,4.17793,5.61199
14.76117,20.11673,13.41399
14.77719,29.80239,1.75579
14.79063,46.57981,13.91114
14.79202,13.33628,10.17808
14.79207,13.33441,10.18047
14.79373,47.50321,14.46462
14.79504,42.38005,15.20422
14.7969,46.0188,18.65361
14.80882,34.83592,17.20631
14.83815,1.52504,6.73567
14.84197,35.81447,11.61099
14.87353,11.97548,8.33027
14.87831,39.1046,11.89409
14.88815,45.56742,15.81574
14.89899,26.83551,17.15294
14.94637,19.0003,12.5233
14.95875,43.15448,9.01598
14.98337,43.044,20.37716
14.98444,8.19007,6.48963
15.00764,14.67366,4.00313
15.01505,36.6009,11.45519
15.03833,35.1186,11.85462
15.04325,15.34659,18.93999
15.0568,8.09722,9.70373
15.07651,14.98077,13.1634
15.0966,22.36382,47.51848
15.10804,17.63753,14.0244
15.12302,31.10173,4.34413
15.12989,36.31402,12.70131
15.12998,38.70033,11.52726
15.16983,20.21137,26.22108
15.17658,2.39399,2.84263
15.19225,19.38007,4.31369
15.24668,6.66206,37.30752
